timeframe,date,time,open,high,low,close,volume,instrument
M5,2020-11-18,14:50:22.375,1.18645,1.18654,1.1864,1.18651,90,EURUSD
M5,2020-11-18,14:50:22.379,1.32571,1.32577,1.32566,1.32572,103,GBPUSD
M5,2020-11-18,14:50:22.381,1878.89,1879.31,1878.89,1879.25,171,GOLD
M5,2020-11-18,14:50:22.383,1.18747,1.18759,1.18731,1.18731,203,EURUSD
M5,2020-11-18,14:50:22.386,1.32573,1.32602,1.32573,1.32597,144,GBPUSD
M5,2020-11-18,14:50:22.389,1879.25,1879.73,1879.17,1879.48,226,GOLD
M5,2020-11-18,14:50:22.517,1.32578,1.32598,1.32557,1.32567,257,GBPUSD
M5,2020-11-18,14:50:22.524,1879.88,1880.14,1879.36,1879.38,533,GOLD
M5,2020-11-18,14:54:59.761,1.18732,1.18767,1.18731,1.18746,214,EURUSD
M5,2020-11-18,14:54:59.763,1.32569,1.32607,1.32566,1.32567,277,GBPUSD
M5,2020-11-18,14:54:59.765,1879.37,1880.19,1879.26,1879.67,543,GOLD
M5,2020-11-18,14:59:59.429,1.32568,1.32648,1.32567,1.32601,372,GBPUSD
M5,2020-11-18,14:59:59.493,1.18747,1.18778,1.18747,1.18762,181,EURUSD
M5,2020-11-18,15:00:00.180,1879.68,1880.35,1879.43,1879.83,654,GOLD
timeframe,date,time,open,high,low,close,volume,instrument
M5,2020-11-18,15:01:17.024,1.18747,1.18778,1.18747,1.18762,181,EURUSD
M5,2020-11-18,15:01:17.027,1.32568,1.32648,1.32567,1.32601,372,GBPUSD
M5,2020-11-18,15:01:17.029,1879.68,1880.35,1879.43,1879.83,654,GOLD
M5,2020-11-18,15:04:59.668,1.1876,1.18773,1.1875,1.18763,239,EURUSD
M5,2020-11-18,15:04:59.670,1879.83,1881.2,1879.73,1880.87,584,GOLD
M5,2020-11-18,15:04:59.859,1.32601,1.32664,1.32601,1.3264,388,GBPUSD
M5,2020-11-18,15:09:59.641,1.32639,1.32697,1.32628,1.32665,371,GBPUSD
M5,2020-11-18,15:10:00.652,1880.84,1881.18,1880.11,1880.3,709,GOLD
M5,2020-11-18,15:10:00.819,1.18764,1.18788,1.18756,1.18767,277,EURUSD
M5,2020-11-18,15:14:59.491,1.18766,1.18796,1.18765,1.1878,258,EURUSD
M5,2020-11-18,15:14:59.493,1.32664,1.32677,1.32629,1.32642,255,GBPUSD
M5,2020-11-18,15:14:59.494,1880.31,1881.76,1880.28,1881.16,734,GOLD
M5,2020-11-18,15:19:59.543,1.32641,1.3274,1.32637,1.32729,398,GBPUSD
M5,2020-11-18,15:19:59.663,1.18778,1.18821,1.18778,1.18802,402,EURUSD
M5,2020-11-18,15:19:59.748,1881.16,1881.5,1880.78,1881.44,793,GOLD
M5,2020-11-18,15:24:59.600,1.18801,1.18835,1.18798,1.18825,254,EURUSD
M5,2020-11-18,15:24:59.602,1.32728,1.32796,1.32719,1.32755,503,GBPUSD
M5,2020-11-18,15:24:59.605,1881.41,1881.94,1881.13,1881.59,895,GOLD
M5,2020-11-18,15:29:59.535,1.32751,1.32788,1.3275,1.32767,367,GBPUSD
M5,2020-11-18,15:29:59.538,1881.58,1881.69,1880.94,1881.04,788,GOLD
M5,2020-11-18,15:30:00.874,1.18824,1.18826,1.18797,1.1881,241,EURUSD
M5,2020-11-18,15:34:59.627,1.18809,1.18812,1.18797,1.18799,193,EURUSD
M5,2020-11-18,15:34:59.637,1881.06,1881.09,1879.97,1880.28,796,GOLD
M5,2020-11-18,15:34:59.647,1.32769,1.32779,1.32721,1.32738,400,GBPUSD
M5,2020-11-18,15:39:59.949,1880.28,1882.13,1880.27,1882.0,824,GOLD
M5,2020-11-18,15:40:00.446,1.188,1.18843,1.188,1.18835,277,EURUSD
M5,2020-11-18,15:40:04.669,1.32741,1.32796,1.3274,1.32765,555,GBPUSD
M5,2020-11-18,15:44:59.522,1.18836,1.18836,1.18799,1.18824,275,EURUSD
M5,2020-11-18,15:45:00.020,1882.0,1882.23,1881.54,1881.93,879,GOLD
M5,2020-11-18,15:45:00.286,1.32761,1.32767,1.32728,1.32747,356,GBPUSD
M5,2020-11-18,15:49:59.509,1.32747,1.32759,1.32714,1.32759,293,GBPUSD
M5,2020-11-18,15:49:59.511,1881.92,1882.5,1881.61,1881.69,846,GOLD
M5,2020-11-18,15:49:59.523,1.18826,1.18837,1.18817,1.18836,219,EURUSD
M5,2020-11-18,15:54:59.430,1.32759,1.32793,1.32749,1.32763,369,GBPUSD
M5,2020-11-18,15:55:00.709,1881.69,1882.25,1881.18,1881.43,760,GOLD
M5,2020-11-18,15:55:02.231,1.18835,1.1884,1.1882,1.18839,208,EURUSD
M5,2020-11-18,15:59:59.376,1.32764,1.32796,1.32755,1.32756,568,GBPUSD
M5,2020-11-18,15:59:59.518,1881.43,1882.5,1881.43,1882.37,709,GOLD
M5,2020-11-18,15:59:59.531,1.1884,1.18855,1.18816,1.18816,501,EURUSD
M5,2020-11-18,16:04:59.779,1.18817,1.1883,1.1877,1.18814,536,EURUSD
M5,2020-11-18,16:04:59.782,1882.41,1883.29,1880.74,1881.93,1331,GOLD
M5,2020-11-18,16:05:04.243,1.32757,1.32799,1.32722,1.32769,665,GBPUSD
M5,2020-11-18,16:09:59.587,1.32769,1.32848,1.32742,1.32835,655,GBPUSD
M5,2020-11-18,16:09:59.588,1881.93,1882.51,1881.69,1882.48,768,GOLD
M5,2020-11-18,16:09:59.805,1.18813,1.18857,1.1881,1.18849,354,EURUSD
M5,2020-11-18,16:14:59.750,1882.46,1882.94,1881.42,1881.58,992,GOLD
M5,2020-11-18,16:15:00.175,1.32835,1.32857,1.32785,1.3285,419,GBPUSD
M5,2020-11-18,16:15:00.575,1.18848,1.18888,1.18826,1.18885,374,EURUSD
M5,2020-11-18,16:19:59.829,1.32851,1.32868,1.32816,1.32836,582,GBPUSD
M5,2020-11-18,16:19:59.831,1881.59,1881.86,1880.54,1881.37,793,GOLD
M5,2020-11-18,16:19:59.943,1.18886,1.18896,1.18849,1.18894,486,EURUSD
M5,2020-11-18,16:24:59.481,1.32836,1.32896,1.32829,1.32886,575,GBPUSD
M5,2020-11-18,16:24:59.483,1881.38,1881.73,1880.9,1881.72,920,GOLD
M5,2020-11-18,16:25:02.956,1.18892,1.18896,1.18864,1.18894,449,EURUSD
