id;comment_title;comment_body;comment_media;comment_media_content_type;date_added;date_approved
1;payment Awesome Concrete Keyboard Health;CSS monitor;../fake-data/blob/hipster.png;image/png;2020-11-10;2020-11-11
2;Refined Fresh Tuna Gorgeous reintermediate;program programming Liberia;../fake-data/blob/hipster.png;image/png;2020-11-10;2020-11-11
3;South Carolina web-enabled Cape Verde Escudo;Metrics;../fake-data/blob/hipster.png;image/png;2020-11-11;2020-11-10
4;virtual;Hryvnia system Savings Account;../fake-data/blob/hipster.png;image/png;2020-11-11;2020-11-10
5;indexing application Knoll;PCI;../fake-data/blob/hipster.png;image/png;2020-11-11;2020-11-11
6;Horizontal e-business Small Plastic Fish;Consultant Data Unbranded;../fake-data/blob/hipster.png;image/png;2020-11-10;2020-11-11
7;Zloty Industrial Cambridgeshire;Mississippi;../fake-data/blob/hipster.png;image/png;2020-11-11;2020-11-11
8;models Baby;Chicken;../fake-data/blob/hipster.png;image/png;2020-11-10;2020-11-11
9;Savings Account salmon Liaison;bleeding-edge Concrete bypass;../fake-data/blob/hipster.png;image/png;2020-11-11;2020-11-11
10;withdrawal Orchestrator;Cambridgeshire data-warehouse Personal Loan Account;../fake-data/blob/hipster.png;image/png;2020-11-10;2020-11-10
