id;post_title;date_added;day_of_week;background_volume;price_action;reasons_to_enter;warning_signs;daily_chart_image;daily_chart_image_content_type;one_hr_chart_image;one_hr_chart_image_content_type;five_min_chart_image;five_min_chart_image_content_type;plan_for_today;high_vol_bar;high_vol_bar_location
1;Home Loan Account Investor;2020-11-10T19:59:20;MONDAY;quantify;Metal;aggregate Fresh Buckinghamshire;Sports generate;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Avon Gourde US Dollar;networks;TOUCHING
2;Shirt object-oriented tangible;2020-11-10T19:29:30;MONDAY;Gibraltar Pound Nuevo Sol;Credit Card Account Fresh Incredible;didactic invoice;Investment Account Product;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;transmitting Borders;Handcrafted navigating next generation;CROSSING
3;Rustic Frozen Cheese;2020-11-11T04:57:14;SUNDAY;Synergistic olive;array;Gorgeous Soft Chair synthesizing;payment Officer;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;SAS Incredible;Massachusetts;DISTANT
4;generating Investment Account;2020-11-10T22:07:12;THURSDAY;backing up;Investment Account;Ball user-centric 6th generation;Handmade Wooden Table;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;compressing bluetooth;British Indian Ocean Territory (Chagos Archipelago) Montenegro Mauritania;CROSSING
5;compressing;2020-11-10T16:26:19;THURSDAY;incubate Guinea;grey;turquoise;Money Market Account compelling;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;robust Jordanian Dinar;calculating Berkshire Bedfordshire;CROSSING
6;Chief;2020-11-11T11:13:29;SUNDAY;leverage connecting;Representative;Mauritius Rupee JBOD invoice;Ergonomic;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;olive;Cheese;TOUCHING
7;solid state Configuration;2020-11-10T23:02:33;FRIDAY;generate;Games;Bacon bandwidth grow;AGP Avon;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;navigating Global;repurpose;TOUCHING
8;Manager Security 1080p;2020-11-10T15:28:36;THURSDAY;neural Technician mesh;Buckinghamshire;Antigua and Barbuda Books circuit;deposit;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Product Technician Internal;Savings Account magnetic program;TOUCHING
9;Cliffs;2020-11-11T05:51:02;SUNDAY;Granite;index Forge Consultant;user-centric Accounts;grow Avon Tuna;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Digitized;Bedfordshire Gloves Generic;DISTANT
10;CSS Awesome Home Loan Account;2020-11-11T09:17:19;MONDAY;Frozen AI;deposit digital;Investor engage Handmade;mobile Supervisor panel;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Granite;schemas deposit Savings Account;DISTANT
