id;data_provider;ticker;exchange;description;data_from;is_active;date_added;date_inactive
1;TRADENAVIGATOR;EXE override;Central;Automotive;2020-11-10;true;2020-11-11;2020-11-11
2;QUANDLL;Up-sized;Sports;Configurable;2020-11-10;false;2020-11-11;2020-11-10
3;FXPRO;Overpass pixel Brazil;Cambridgeshire action-items;copying Ohio Home;2020-11-10;false;2020-11-11;2020-11-11
4;FXPRO;haptic;Computers Avon monitor;task-force;2020-11-11;false;2020-11-11;2020-11-10
5;FXPRO;Danish Krone moratorium Bike;Agent Circle;superstructure virtual;2020-11-11;false;2020-11-10;2020-11-10
6;FXPRO;neural Angola;facilitate XML;Grocery;2020-11-11;true;2020-11-10;2020-11-11
7;FXPRO;Global Pizza;Buckinghamshire;payment;2020-11-11;true;2020-11-11;2020-11-11
8;QUANDLL;Metal Tennessee;back up Optional integrated;hard drive Surinam Dollar;2020-11-10;true;2020-11-10;2020-11-10
9;QUANDLL;infrastructures Zimbabwe Engineer;Producer virtual parsing;leverage District;2020-11-11;false;2020-11-10;2020-11-11
10;FXPRO;Falkland Islands Pound;Communications Louisiana system;robust Delaware non-volatile;2020-11-10;false;2020-11-11;2020-11-11
