id;key_value_group;key_value;key_value_entry
1;1080p communities;Developer Car yellow;quantify
2;payment copy;Object-based;envisioneer Producer
3;Virginia;infrastructure Front-line;Incredible Frozen Bike Vermont niches
4;Supervisor;Refined hierarchy;24 hour calculate
5;calculate;copying primary Assistant;success
6;solid state cross-platform Expressway;microchip;Senegal Malaysian Ringgit
7;Plastic Rustic;Australian Dollar Auto Loan Account;Green hacking Data
8;Stand-alone;Spur Bike Money Market Account;Texas Baby
9;Kuwait;moderator bandwidth-monitored SMTP;coherent Wooden Nevada
10;gold withdrawal;open system Legacy;Metal
