id;ticket;open_time;direction_type;position_size;open_price;stop_loss_price;take_profit_price;close_time;close_price;commission;taxes;swap;profit
1;29039;2020-11-10T15:27:58;wireless;21952;9949;48415;56299;2020-11-10T18:35:39;33081;46329;20204;24374;71678
2;31072;2020-11-11T02:14:51;granular;42282;49609;23995;79446;2020-11-11T08:48:08;30587;17800;88317;90039;91263
3;24473;2020-11-11T07:43:52;Savings Account Licensed;99833;82194;65074;2450;2020-11-11T00:02:03;26098;46753;13865;79861;66580
4;88456;2020-11-11T06:10:50;grow Jewelery;85408;42263;88370;35723;2020-11-11T00:58:29;41407;16602;94555;15033;48985
5;25912;2020-11-11T02:37:14;portals;31485;66897;35636;88752;2020-11-10T16:39:14;40585;98120;42236;47153;94575
6;56626;2020-11-11T03:20:34;Expanded strategic TCP;5895;92211;85184;58559;2020-11-11T04:45:47;93654;65440;27256;41838;66751
7;44417;2020-11-11T10:57:59;Baby;96989;19934;19348;56742;2020-11-10T17:03:49;98312;14634;261;94476;97908
8;74421;2020-11-10T15:36:26;Internal pricing structure secured line;67476;85974;66028;39596;2020-11-11T02:03:05;90235;59923;26905;56745;30878
9;45416;2020-11-11T09:52:33;AI multi-byte Distributed;62353;70796;69902;59379;2020-11-11T07:09:17;61729;13477;82827;15496;97919
10;29670;2020-11-10T18:16:43;Object-based PNG;70121;39872;33086;93962;2020-11-10T19:24:17;74450;98013;24548;97851;4982
