id;price_timeframe;price_date;price_time;price_open;price_high;price_low;price_close;price_volume
1;W1;2020-11-11;2020-11-10T13:26:09;8046;26077;97538;46652;30448
2;W1;2020-11-11;2020-11-10T22:19:42;81056;26667;56820;91773;7287
3;D1;2020-11-11;2020-11-10T23:18:21;23981;54542;31779;30273;30524
4;M30;2020-11-11;2020-11-11T09:09:38;15198;63232;73830;56321;82089
5;H4;2020-11-11;2020-11-11T02:32:35;62960;86525;84711;64688;55655
6;M1;2020-11-10;2020-11-10T19:52:48;96715;76210;19093;77908;17803
7;H4;2020-11-11;2020-11-11T05:19:57;83888;80422;22669;61489;47084
8;W1;2020-11-10;2020-11-10T15:02:49;37344;35476;10439;86380;59159
9;H1;2020-11-10;2020-11-11T04:38:41;22885;63417;33752;9991;28770
10;M5;2020-11-10;2020-11-11T05:12:53;90826;50433;46944;70395;40608
