id;sequence_name;sequence_identifier;sequence_description
1;Kenya Fresh hard drive;Focused Practical;../fake-data/blob/hipster.txt
2;Gorgeous regional;programming transmitter District;../fake-data/blob/hipster.txt
3;US Dollar 24/365 port;Frozen Ball;../fake-data/blob/hipster.txt
4;Austria integrated;1080p Computers Handcrafted;../fake-data/blob/hipster.txt
5;connecting;Sleek Granite Bike;../fake-data/blob/hipster.txt
6;Associate mission-critical;Optimization optical;../fake-data/blob/hipster.txt
7;Rwanda Franc pixel Fantastic Frozen Chair;connect Mouse;../fake-data/blob/hipster.txt
8;Refined;Svalbard & Jan Mayen Islands Handcrafted Frozen Cheese;../fake-data/blob/hipster.txt
9;transmit Jewelery;violet Netherlands;../fake-data/blob/hipster.txt
10;encompassing systemic;contextually-based application copy;../fake-data/blob/hipster.txt
