id;post_title;post_body;date_added;date_approved;media_1;media_1_content_type;media_2;media_2_content_type;media_3;media_3_content_type;media_4;media_4_content_type
1;bus;Virginia Berkshire;2020-11-11;2020-11-11;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;SMTP customized;Borders;2020-11-11;2020-11-11;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;Practical Rubber Cheese Rubber hard drive;Yen Administrator;2020-11-11;2020-11-11;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;Open-source Direct;Organized;2020-11-10;2020-11-10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;Agent Practical Granite Computer;value-added payment;2020-11-10;2020-11-11;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;transmitting Bedfordshire ADP;open-source Savings Account dynamic;2020-11-10;2020-11-11;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;Burundi Franc;Branding invoice;2020-11-11;2020-11-11;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;tertiary Ergonomic Rubber Ball encryption;alarm;2020-11-11;2020-11-10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;Tactics;COM Analyst Tools;2020-11-10;2020-11-10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;Auto Loan Account Programmable Nevada;transition Music neutral;2020-11-11;2020-11-10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
