id;name;note;number_of_bars;signal_indicates;description;background;action_to_take;sequence_number
1;Principal payment;Lead bricks-and-clicks Health;94845;WEAKNESS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;48771
2;Haven;Credit Card Account lavender;46487;WEAKNESS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;54280
3;Managed Jewelery;Agent architecture Future;77290;WEAKNESS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;39765
4;Sri Lanka Refined Pizza;Texas;72202;STRENGTH;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;94318
5;Fantastic Frozen Pizza ability;Lead;37832;STRENGTH;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;84468
6;Savings Account Planner;hard drive payment;70844;WEAKNESS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;94584
7;solution-oriented;web-enabled Rufiyaa;37110;STRENGTH;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;68284
8;Central;generate deposit Monitored;84309;WEAKNESS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;91979
9;Grass-roots;hacking New York;90963;STRENGTH;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;35903
10;Sleek;Computer Supervisor Mouse;43292;WEAKNESS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;67969
