id;post_title;post_body;date_added;date_approved;media;media_content_type
1;Borders;Rustic Cotton Table structure;2020-11-11T06:37:14;2020-11-10;../fake-data/blob/hipster.png;image/png
2;Global Home Loan Account;Morocco explicit eyeballs;2020-11-10T17:37:00;2020-11-11;../fake-data/blob/hipster.png;image/png
3;Credit Card Account;Unbranded leading-edge;2020-11-11T09:16:10;2020-11-11;../fake-data/blob/hipster.png;image/png
4;Unbranded;Berkshire Engineer Buckinghamshire;2020-11-11T00:26:24;2020-11-11;../fake-data/blob/hipster.png;image/png
5;brand Minnesota;alarm yellow Avon;2020-11-10T13:08:28;2020-11-11;../fake-data/blob/hipster.png;image/png
6;North Korean Won Court;Rapids IB California;2020-11-11T05:00:12;2020-11-10;../fake-data/blob/hipster.png;image/png
7;Networked Handmade Texas;plug-and-play Automotive process improvement;2020-11-10T21:28:45;2020-11-10;../fake-data/blob/hipster.png;image/png
8;HTTP flexibility;Team-oriented Persistent primary;2020-11-11T05:49:14;2020-11-11;../fake-data/blob/hipster.png;image/png
9;hacking;visionary transmit Response;2020-11-10T23:37:17;2020-11-11;../fake-data/blob/hipster.png;image/png
10;IB;Ergonomic Loaf;2020-11-10T19:06:26;2020-11-11;../fake-data/blob/hipster.png;image/png
