id;watchlist_name;watchlist_description;date_created;date_inactive;watchlist_inactive
1;Missouri mission-critical;Ireland Vision-oriented Utah;2020-11-11;2020-11-10;true
2;Implementation Future;Soft;2020-11-10;2020-11-11;false
3;auxiliary;facilitate deposit;2020-11-11;2020-11-10;true
4;quantifying;Executive generate;2020-11-11;2020-11-10;false
5;array hack orchid;firewall Auto Loan Account;2020-11-10;2020-11-11;false
6;Avon Alabama backing up;Handcrafted SCSI implementation;2020-11-11;2020-11-10;false
7;auxiliary;Oklahoma Missouri Accounts;2020-11-10;2020-11-10;true
8;synthesize;monitor;2020-11-11;2020-11-10;true
9;Accountability;backing up Mobility Operations;2020-11-11;2020-11-10;false
10;Product XSS HTTP;Awesome;2020-11-11;2020-11-11;false
